ID_avaliacao,avaliacao,nota,sentimento
106270,MANO COMO ASSIM VEI QUEM Q VENDE BAND-AID PELA NET MANO VTNC KKKKKKKKKKKKKKKKKKKKK,1,negativo
2626,"O APARELHO ESTÁ BLOQUEADO. PERDI MUITO TEMPO JUNTO A OPERADORA VIVO E OI PARA TENTAR DESBLOQUEAR. NADA FEITO. AGORA VOU TENTAR A ASSISTÊNCIA TÉCNICA SAMSUNG, MAS VOU TER DE PAGAR O DESBLOQUEIO, SE  FOR POSSÍVEL. UMA FRAUDE CONTRA O CONLSUMIDOR.",1,negativo
17235,Produto excelente. É tudo perfeito durante o processo da compra,4,positivo
2282,"O produto no anuncio diz que tem 1,65 de largura e quando chegou o mesmo tem 1,95. Vc compra para um determinado espaço e não consegue utilizar o produto.",1,negativo
4936,"os produtos da linha tramontina são sempre bons, a mesa de passar roupa e otima.",5,positivo
12053,"A FURADEIRA É MUITO BOA, ATENDE MUITO BEM A EXPECTATIVA, TANTO PARA PARAFUSAR COMO PARA PERFURAR. ÓTIMO.",4,positivo
2774,"Ótima bicicleta , minha sobrinha amou... chegou na data prevista ... vendedor excelente",4,positivo
75635,"adorei, e como eu sonhei, super rapidp, nao esquenta, amei",5,positivo
23341,"Entrega antecipada. Estou muito satisfeita, com minha compra!",4,positivo
97052,"Cumpre o que promete, videosonic tá de parabéns (mesmo tendo um leve atraso no prazo)",4,positivo
8170,Produto excelente de boa qualidade sem contar a entrrega q foi em 72 hrs depois de adquirir o produto!!!Super recomendo!!!!!,5,positivo
54928,Um bom produto. Recebi muito antes do tempo previsto. Estou satisfeito. Valeu a compra. Está indicado!!,5,positivo
16455,um cd  com  em  formacoes  comfusa   nem uma enformacao para para baixa o aplicativo  correto uma decepicao,2,negativo
78420,"O produto é muito bonito aparentemente. Mas assim que pegamos, já notamos a baixa qualidade no material utilizado. Ele já veio com o fundo amassado de tão fino que é. Esquentamos algumas vezes e já entortou toda a parte de baixo.",2,negativo
43600,não posso avaliar o que nao recebi ainda. mais de um mês e nada do produto.,1,negativo
90719,Entrega menor que o pedido e o produto condiz com anuncio,5,positivo
106940,potente prático bonito produto muito bom recomendo,5,positivo
98155,"Produto muito bonito, pena que chegou avariado e a loja esta enrolando para devolver meu dinheiro, visto que solicitei o cancelamento dentro do prazo.",4,positivo
15183,"estou feliz com o produto, boa qualidade confere com a descrição",5,positivo
79552,"Apesar da entregar ter demorado, enquanto ao produto, excelente.",5,positivo
129010,Sofazão mano! Qualidade do tecido muito boa..nao é um tecido fino..e simplesmente todo acolchoado..sem brincadeira...parece q vc esta deitado em almofadoes..muito confortável..ele é extensível..tenho 1.81..e meus pés ficam de fora se eu ficar reto..mas para alguem menor vai de boa. O problema é q ele é bem pesado..mas deve ser pela qualidade da armaçao..madeiras e espumas...estou muito satisfeito com essa compra...valeu a pena!,5,positivo
26624,Com 2 meses já estragou. Não esquenta mais. Liga e parece q virou freezer.,1,negativo
76978,"produto excelente, pelo valor, nada comparável no mercado, o som é excepcional, inacreditável, não consigo usar mais do que 10% do volume, de tão alto e sem perder qualidade, recomendo a todos",4,positivo
121464,Realizei a compra com prazo de entrega para 60 dias e nunca recebi o produto e a loja não toma nenhuma providencia. Descaso e desrespeito com os clientes,1,negativo
49920,"cumpre o que promete, só demora (não sei porque) um pouco prá tocar, o outro telefone (extensão) sempre toca primeiro que ele... rs... não entendo pq, mas nada que comprometa a usabilidade do aparelho... do resto, excelente...",4,positivo
26251,"O produto é ótimo deixa o cabelos totalmente aliados , amei....",4,positivo
109332,"idêntica ao anuncio , supriu minhas necessidades .",4,positivo
108611,"Prático, chegou no prazo e está dentro das minhas expectativas. Pode ser usado em qualquer ambiente!",4,positivo
28954,"Gosto da Motorola, blá, blá, bla,blá,  etc, etc... obrigada",5,positivo
75045,"Ja veio com mau contato, dois dias depois parou de funcionar, compensa gastar um pouco mais e comprar o ORIGINAL",1,negativo
20503,Ótimo produto.Recomendo a quem se interessar.Foi entregue antes da data prevista.,4,positivo
47175,"Ótimo Produto, só faltou ser maior alguns deles, pois, na visualização e Especificação dos Produtos, não dá pra ter uma real dimensão dos mesmos.",4,positivo
107031,Fui muito bem atendido. Estou satisfeito e recomendo o serviço.,5,positivo
4167,Hoje faz 9 dias da data prevista para entrega do produto e até agora nao o recebi. O status do rastreamento n atualiza desde o dia 13/12/2017.,1,negativo
122609,"Superou minhas expectativas, lindo, macio, de qualidade. Entrega bem antes do prazo, recomendo!!!",4,positivo
61366,"Comprei a prancha TAIFF vulcan na convicção de que era um bom produto(diga-se de passagem muito cara), até pelo peso do nome da marca, mas não correspondeu as expectativas. Fiquei perplexa quando vi que a chapinha estava descascando e parte dela corroída. Isso é um absurdo! Como consumidora exijo que seja resolvido esse problema, pois ainda estou pagando por um produto enganoso. Ainda por cima não recebi nota fiscal, o site alega que a nota fiscal é eletrônica, mas não faço ideia de como emitir. Ainda não recebi suporte quanto a isso.",1,negativo
17936,E ainda tenho a cara  de manda eu avaliar  o prazo de chegar na minha residência  era como 9 dias e já vai fazer um mês  e nada,1,negativo
46105,"Recomendo a compra da impressora, principalmente pela grande quantidade de tinta.",5,positivo
84647,"Último romance da série napolitana, excelente e apaixonante como os outros 3 livros. Elena Ferrante escreve de maneira muito envolvente, dessas que faz a gente sentir as dores e as delícias de cada personagem.",5,positivo
13567,"Gostei muito do produto! Funciona muito bem, é bastante confortável.",5,positivo
74307,"Produto muito ruim ,espuma afunda com pouco tempo de uso .Ja chega em casa precisando ir pra reforma.Economia a base da porcaria se eu pudesse escreveria isto em cada anuncio deste produto para que outras pessoas nao escolham esta porcaria",1,negativo
28206,AINDA NÃO RECEBIDO. SOLICITO ENTREGA IMEDIATA OU RESARCIMENTO DO VALOR EM MEU CARTĀO IGUALMENTE O MAIS BREVE POSSÍVEL. ATT SÉRGIO JALONETSKY,1,negativo
98127,"Excelente Produto otima excelente qualidade, e rapidez na entrega.",5,positivo
17627,Quero meu pagamento eu informei a conta poupanca e tbem a xonta juridica .a conta poupanca foi so uma vez e a juridixa por duas vezes aki no sit. Em qual sera depositado. Por favor,1,negativo
91105,"O carregamento TURBO só funciona com ele desligado. Quando coloco ele para carregar em funcionamento, leva mais de cinco horas para carregar.",1,negativo
114475,Potência é baixa. Para esquentar precisa de alguns minutos a mais que outros microondas.,2,negativo
39577,"Não consegui comprar pois não tem onde, selecionar o tamanho  Se eu estiver errado por gentileza me explica",2,negativo
16491,"Material na fotografia aparenta ser tecido, porém é de pvc, muito proximo as lonas de piscinas. Possui um cheiro extremamente forte. Sendo que, por ser pvc e vir dobrada em embalagem pequena, o produto fica todo marcado. Não recomendo o produto. Solicitei a troca nas americas, e estou há muitos dias aguardando uma posição da loja, e até o momento não houveram manifestaçoes, sendo ja estou pagando pelo produto.",1,negativo
106584,"100%. Melhor compra que já fiz nos últimos tempos. Produto barato e útil. Produto robusto e leve. O teclado proporciona uma digitação confortável e o mouse é preciso. O teclado e o mouse usam apenas um receptor, economizando o número de portas USB do computador. Me livrei do incomodo dos fios e meu espaço de trabalho ficou mais limpo e harmonioso. Ademais, o tudo me parece bastante durável. 100% safisfeito. Recomendo à todos.",4,positivo
95447,"Não conhecia a marca, mas parece ser muito bom, a bateria dura bastante.",4,positivo
21151,"Querem um conselho? não comprem smartphone da Asus, comprei um e assim que completou 1 ano desligou e NÃO LIGA MAIS!!! não tem mais solução, tenho um celular novo que não funciona e estou completamente indignada, e se pesquisarem tem varias reclamações do mesmo problema, não compro Asus nunca mais!!",1,negativo
91763,"Simples e eficiente. Vale a pena, kkdkkaskjds djkjdskjdsksjd kdjksdajksdjkdsj dsajdsakjsadkjdsaklj adjdslkajsdakjdsakj",4,positivo
54931,"Produto excelente marca o peso de forma precisa, já estou utilizando a quase 1 mês e não tenho do que reclamar e a entrega também estão de Parabéns super rápida.",5,positivo
53922,"eu comprei dia 7/02 e ate agora não chegou, cada vez que eu olho a data do prazo muda estou muito insatisfeita com a demora.",1,negativo
68427,Pessimo. O atendimento da empresa na devolução eh pior ainda,1,negativo
22520,"Superou minha expectativa.  Pra mim, substitui perfeitamente  o liquidificador  e a batedeira.  Muito bom mesmo. Me surpreendí com a entrega também . Rapidíssimo.",5,positivo
34210,"nem recebi ainda e ja informa no status que o produto foi entregue, um absurdo, comprei em novembro e ate hoje nada!",1,negativo
5541,"horrível produto falso e veio semi aberto, péssimo...decepção pra minha filha!",1,negativo
54143,Ótimo superou minhas expectativas chegou antesdo prazo    Ótimo produto,5,positivo
22522,"Tirando a parte que a câmera veio com a tela toda riscado e lente com um baita risco  fundo no meio o resto chegou bem , praticamente 100% de certeza que essa câmera deve ser devolução de alguém q já devolveu e me mandaram isso falta de consideração com o cliente isto , se o produto não é tão de qualidade a gente até compreende pelo preço baixo ,mas pelo menos tinha que vir novo e intacto e não cheio de marcas de uso ..espero que o responsável pelas vendas corrija isto.",1,negativo
74512,Produto com defeito e qualidade ruim  Horrível  Não recomendo,1,negativo
79571,"achei o celular diferente da propaganda, HSAUHUAHSUHAUSHUASHUAHSHASUHUASUAHUSAHU",1,negativo
69308,"Ótima para casa tem graves bom, mais se quer para festa recomendo outro som. Um festa com poucas pessoas até que dá.",4,positivo
102370,"Comprei esse freezer , recebi e não funcionou.  Solicitei a troca do produto e nada foi feito . Tive que pagar pra um Mecanico consertar por que estava precisando muito usar",1,negativo
75809,"Imagem muito boa e processador muito rápido. Não sei se as gerações mais novas ainda são melhores, mas considerando o benefício e o preço menor, essa TV atende plenamente a expectativa.",4,positivo
91918,"Celular muito bom. Câmera excelente , processador muito rápido e ótima memoria interna",4,positivo
29157,"Gostei muito do produto, pois o mesmo atende as minhas necessidades aqui q a tensão é 110 v. Recomendarei para amigos e conhecidos",4,positivo
110269,"Preço razoável, aparelho regular que atende as necessidades básicas.",5,positivo
109162,Excelente produto muito bom chegou em bom estado recomendo,5,positivo
55979,Produto entregue no prazo.  E muito bom. ..........................,4,positivo
114014,"Gostei, tem varios tipos de jato e para guardar não ocupa espaço. Muito boM, recomendo!",5,positivo
75063,"A mangueira já rasgou em dois lugares, péssima qualidade, extremamente frágil. Consertei conforme as instruções do vendedor, mas vou acabar ficando com meio metro de mangueira de continuar arrebentando.",1,negativo
71130,Excelente perfume. Adoro. Chegou bem rápido e com preço excelente.,5,positivo
125830,Recomendo. Filme muito bonito. As músicas do filme também são ótimas.,4,positivo
66976,"Demorou um pouco na entrega. Tirando isso, a tv é excelente.  Imagem e som impecável. A função Smart é super rápida.",5,positivo
66278,"O cabo é curto e não fixa... conforme voce vai usando e vai abaixando.. o refil tambem é ruim, pega sujeira e não limpa, voce pode deixar de molho, esfregar com escova que não limpa....",1,negativo
93249,O produto chegou e desde então nunca funcionou. Queria saber como faço p troca-lo.,1,negativo
102983,"Até o momento nada a reclamar, só tenho uma semana de uso, mas parece ser um produto muito bom, tem uma excelente câmera.",4,positivo
40911,"O bebedouro gela legal, design bacana e só. O maior defeito é que o reservatório onde desce a agua é muito pequeno, isto é: Ao colocar um novo galão de água DERRAMA muita água fora do bebedouro. O ""sensor de temperatura"" durou uns 7 meses, não desliga mais, fica gelando direto.",1,negativo
70245,Ainda não recebi o produto. Gostaria de saber qual é a previsão de chegada. Obrigada Mariângela,1,negativo
27506,"pessimo produto , veio sem nota fiscal , semum numero para eu poder reclamar , como fico agora .",1,negativo
93867,"Os fracos vieram pela metade, sem lacre!!!  Um dos frascos veio com o conteúdo todo derramado!  E a hidratação não ficou boa! Claramente, Produto adulterado!!! Péssimo!!",1,negativo
9263,Comprei para o meu noivo de presente e ele adorou!,4,positivo
76370,"Não tenho como ter uma opinião, já que não recebi o produto. Portanto não tenho como opinar sobre a qualidade.",1,negativo
126785,"Paguei por esse celular e me enviaram outro.Liguei para resolver e a atendente simplesmente fala que não tem mais esse no estoque,falou que me retornaria para solucionar  o impasse e até agora nada. Um absurdo! Quero meu dinheiro de volta!",1,negativo
55639,"Produto de excelente qualidade e custo benefício, enviado rapidamente.",5,positivo
19051,Eu ate que poderia avaliar So que ate hoje n chegou o produto  To rsperando chegar e nada Prrciso do aparelho com urgencia,1,negativo
59730,"A maquina que recebi foi uma maquina de fazer raviolli. Ela não faz Diversos Tipos De Massa Como Lasanha, Taglierini, Fettuccine, Spaghetti Rotondi, Talharim, Espaguete, Pastel, Massa Folhada E Outros. Ela apenas tem cilindro para fazer massa de lasanha e cortador de raviolli. Não corta talharim, nem fetutine nem espaguete. Não é a máquina que fiz pedido, nem atende as especificações apresentadas no anúncio.",1,negativo
22369,"Foi muito bom oque eu vi sobre o celular , preciso de um assim ! Sempre gostei da motorola  e agora vou comprar esse aparelho comk certeza !",5,positivo
49371,"A relação custo/benefício é boa. Levando em conta o preço, até que a qualidade atende bem.",4,positivo
9442,acho que eu cancelei sem querer o produto não veio,1,negativo
44936,"O aparelho ê muito bom, funciona bem, possui configuração de fácil manuseio.",5,positivo
13411,As dobradiças e seus suportes são frágeis e a porta não fecha direito.,1,negativo
91769,conforto certo e proteção aconselho a comprar opis é muito importante  esse produto,5,positivo
129066,"achei que o tecido fosse melhor,não agradei,não agradei e também não recomendo esse produto",2,negativo
13555,Um horror. Veio todas as peças extremamente ARRANHADAS.,1,negativo
27503,Essa ducha estoura e vaza na parte de cima! A empresa até trocou a primeira...mas o produto é lixo... voltou a estourar mesmo com o niple redutor de pressão... quem tem gasta 30 reais com resistência de três em três meses.,1,negativo
127814,Não recomendamos pois o café não fica quente Alias ela filtra o café com a agua morna. Para quem deseja café quente essa cafeteira não atende . Me arrependo de ter comprado.,1,negativo
32363,Recomendo! Excelente atendimento do meu dome e excelente produto!!!,5,positivo
39234,Equipamento fraco. Parece que vai quebrar durante o uso.,2,negativo
19298,"Ótimo gostei muito ,entrega rápida antes do prazo  produto exelente. Bem embalado.  Ótimo",5,positivo
97791,Produto excelente chegou bem antes do prazo esse eu recomendo,5,positivo
33137,"Huggies Soft Touch é uma fralda macia, confortável e com boa resistência... Amei, eu e minha pequena recomendamos.",5,positivo
52858,"Produto muito bonito e moderno. O Painel tem um ótimo acabamento, a pintura na cor preto ficou show! Parabéns!",5,positivo
92900,"A panela é ótima, linda, fácil de usar, cozinha super bem , silenciosa, porém há uma propaganda enganosa, pois diz que comporta 6L , mas na verdade fiz a medição com líquido e comporta apenas 4L. Mas cozinha um 1kg de feijão que é o essencial e  foi na verdade para essa finalidade que comprei, depois que minha panela convencional explodiu, fiquei com medo. Super recomendo!",4,positivo
114961,"Comprei o produto pelo site, chegou no prazo, porem muito mal embalado, produtos todos estourados, vazou tudo dentro da embalagem que eles colocaram para transporte, sem condições de uso, solicitei a troca e agora terei que aguardar toda a burocracia para poder utilizar meus produtos Muito insatisfeito pelo serviço prestado.",1,negativo
103981,"Deixa muito a desejar, o som é muito baixo mesmo bem regulada e a imagem não é lá essas coisas, mesmo sendo digital. Não gostei, não recomendo.",2,negativo
27437,estou decepcionada com tel pois ele trava toda hora nao gostei,2,negativo
129787,Recebi o produto dentro do prazo e em perfeitas condições,5,positivo
111519,Produto ótimo do jeito que eu esperava.Eu recomendo,5,positivo
42520,"Como a ar frio vai de baixo para cima , há uma formação de gelo que não deixa ar frio subir para o esfriamento da parte de cima. A minha geladeira tem que ser desligada por 3 dias para que o gelo derreta e volte a gelar a parte de cima.  Transtorno total , 3 dias sem geladeira , perda de produtos e sem solução do fabricante.  Não recomendo",2,negativo
5426,"produto como o esperado,recomendo sim... meu filho adorou ..",5,positivo
121608,"Solicito a gentileza de entrarem em contato comigo, já enviei algumas msgs informando que o produto não tem qualidade é não me deram retorno algum, essa necessaire não cabe nem meu celular, apenas cartões e canetas. Solicito a devolução do meu dinheiro E a retirada do produto.",1,negativo
28879,recomendo o  produto .de otima qualidade e a entrega foi feita antes do prazo !!!!!,5,positivo
123643,"Não entregam conforme o prometido, o controle é diferente das imagens mostradas acima. Ele não possui o botão do microfone, entrei em contato e ainda não me retornaram!",1,negativo
51598,Não obtive o resultado esperado. Fiz confirme instruções no frasco mas não adiantou a luz continuou AMARELA.,2,negativo
119913,A mercadoria está fora do prazo de entrega e neguem me sabe dar uma resposta convincente.,1,negativo
35435,"Boneca linda, adoro brincar com ela. Super recomendo !!",5,positivo
59510,"Produto muito bom, chegou antes da data prevista, recomendo.",4,positivo
112014,Gostei muito do produto . Entrega super rápida .   Parabéns pela agilidade na entrega e qualidade no produto .,5,positivo
49121,Assim que recebi o produto fiz uma reclamação no site e até agora não recebi resposta. O Cd veio com a caixinha quebrada. Solicito a troca do CD que inclusive ainda está no lacre. Aguardo retorno.,1,negativo
64823,"Produto parecia bom, porém com uma semana de uso parou totalmente de funcionar. Lamentável!",1,negativo
132087,"Propaganda enganosa, prometem mentiras, o produto não tem efeito nenhum, não recomendaria pra ninguém",1,negativo
40650,muito bom rapido não trava super top estou muito satisfeito,5,positivo
123425,Achei muito bom. Recomendo esse produto o preço também bem em conta vale a pena conferir.,4,positivo
34701,"Estou a quase uma semana falando com o sac, me enviaram falando que tentaram entregar e não havia ninguém na casa (achei estranho) remarquei a  entrega fiquei o dia todo e não vieram entregar. Não recomendo essa loja. Não compre vai em outra.",1,negativo
61444,"Muito bom o celular, e o produto chegou antes do prazo de entrega estabelecido",5,positivo
120259,Um dos reator e lampada veio estragado pessimo dinheiro jogado fora,1,negativo
67103,"Pelo valor desse tablet, a tela é muito abaixo da qualidade do seu concorrente iPad. Não sou um fã de Apple, e me desculpem os fãs de Samsung, mas não vale a pena esse Tablet. Botão home é horrível, parece um botão de tablet da China, tela touch pouco sensível, som fraco. Pontos positivos são duração da bateria e a caneta, no demais me decepcionei. Não é um aparelho ruim, mas é incompatível com o valor cobrado, deveria ser muito melhor.",2,negativo
67798,"QUERO O MEU PRODUTO, PAGUEI POR ELE. AVALIEI O PRODUTO SÓ PARA DAR PROSSEGUIMENTO, POIS NÃO TENHO NENHUMA NOTÍCIA.",1,negativo
68246,"È um aparelho que não trava, a câmara excelente, em fim , um ótimo aparelho que recomendo a todos. Tenho certeza que ninguèm se arrepende. Estou muito satisfeita   Iracema",5,positivo
86144,GASTEI DINHEIRO A TOA PORQUE O LIVRO NÃO CHEGOU... JÁ SE PASSARAM 2 MESES. AFF!!!,1,negativo
102010,"O produto chegou rapidamente, porém desregulada. É possível que eu mesma consiga regulá-la?",2,negativo
23680,Dei de presente de casamento e comprei aqui porque é o site mais barato e o mais confiável. A data prevista de entrega me assombrava pois era dois dias a mais da data do casamento. Mas a loja me surpreendeu e chegou com + ou - 8 dias. Chegou em prefeitas condições e intacto. Recomendaria com certeza essa venda. Comprarei com mais frequência aqui!!,5,positivo
130675,"Produto nao funcio, veio com problema na saida para instalar a camera de ré e tem mais de uma semana que estou tentando trocar o produto e nao consigo, passam de uma empresa para outra e nao resolvem nada. Nao recomendo nem comprar mais nesse site, pois nao oferece assistencia.",1,negativo
16056,"Gostei muitíssimo do meu celular Moto  G5s Plus. É um celular de altíssima tecnologia, rápido, preciso, designer de bom gosto, fino acabamento, imagem espetacular e para pessoas de bom gosto. Obrigado.",5,positivo
44662,Comprei o produto a entrega foi rápida mas após usar pela terceira vez não funciona mais.,1,negativo
56857,"O celular é o melhor da linha intermediária, a bateria dura o dia inteiro, e olha que eu jogo jogos pesados, a câmera é ótima, ele não trava, e tem memória de 32 gb, e tudo isso por um ótimo preço, e outra coisa, neste celular pode-se duplicar aplicativos como whatsapp, facebook etc, recomendo muito este produto.",5,positivo
67131,O aparelho não atendeu as minhas expectativas. O produto não esquenta bem!,2,negativo
130184,o produto  tem ótimo acabamento eu super indico  não e chines e sim japonês o aparelho,5,positivo
3266,GOSTEI DO PRODUTO MUITO BOM COMPREI 10 JA ESTOU USANDO A METADE RECOMENDO ENTREGA SUPER RAPIDA MUITO OBRIGADO,5,positivo
41570,"Produto tinha prazo de entrega de 2 meses. Achei altíssimo, porém, alguns relatos diziam ter chego antes, então comprei. Além disso, chegou com mais de uma semana de atraso, porque eu reclamei. O produto em si: qualidade baixa, chegou com vários descascados nas bordas.",2,negativo
84975,"Os varões em si são bem feitos e de ferro, mas os suportes deles são de plástico deixando a desejar.",2,negativo
84077,"Estou adorando meu notebook, seja para baixar arquivos e filmes, fazer leituras online ou simplesmente navegar na Internet. Produto muito bom, de fácil manuseio, leve e com design arrojado.",4,positivo
15608,As crianças amaram eu achei linda e chegou bem antes do prazo ! Maravilha,5,positivo
65252,Como recomendar um produto que ate agora nem chegou?,1,negativo
97131,"Por ser Blackout a protecão contra a luz  do sol deixa a desejar; quanto a cortina em si, bom material e acaabamento",2,negativo
110442,"Chuveiro ótimo, entrega no prazo, a única coisa q não gostei foi a quantidade de isopor picado q veio na embalagem, gruda em tudo e fez a maior sujeira quando abri a caixa, difícil de limpar.",5,positivo
20644,"design mt bonito , senti falta dos numeros ,mas ja comprei sabendo q nao tinha , mas mt bom produto",4,positivo
39976,As hastes de proteção com isotubos não tem encaixe e não ficam firmes e conforme a criança pula os pés deslocam a empresa jamais deveria vender esse produto que é de péssima qualidade e pode trazer riscos de ferimentos graves as crianças,1,negativo
44275,"Esta maquininha é um modelo simples, eficaz e atingiu as expectativas. Mas já tive outras máquinas de depilação da Philips com mais atributos.",4,positivo
55512,Comprei um produto recebi outro totalmente diferente. Comuniquei e ninguém me respondeu,1,negativo
81034,"Grande, mas é péssimo para ventilar. Simplesmente não chega nada de brisa quando se está a mais de 1 metro do aparelho. O vento é muito fraco.",1,negativo
17841,"De blindado nao tem nada comprei uma dessa loja e odiei, nao cumpre o que promete, pelicula super fina veio com as bordas enrrugadas, paguei caro nunca maos compro dessa loja NAVE10",1,negativo
31220,"Estou  satisfeita  com  produto,além  da expectativa.",5,positivo
16812,"Mouse muito bom, incrível para CS GO, material excelente!  Mouse Grande se se tiver mão pequena não recomendo! Como jogo de Palm Grip é muito Bom!",5,positivo
36240,"NAO GOSTEI O TAPETE NEM SE COMPARA COM O DA FOTO, PÉSSIMO BAIXA QUALIDADE",1,negativo
116349,"em relação a venda tudo ok chegou antes do prazo, porém a qualidade do produto deixa um pouco a desejar é bem frágil e  a parte de traz  e em cima onde aparece o mickley é de papel (tem que recortar da caixa).",2,negativo
90624,Versátil e com potência maior em comparação a outros modelos da mesma linha.,4,positivo
81635,Pedi um produto e veio outro. Primeira e última vez q compro alguma coisa no site de vcs,1,negativo
12933,"Produto sem qualidade ,essa bateria descarrega rapidinho já vem viciada.",1,negativo
7962,Minha irmã me indispuseste livro pois estou grávida e vcs estavam com um Ótimo preço e me entregaram rapidinho,5,positivo
110896,"Produto com formato bem chamativo, elegante, imponente. Produto sem estragos, sem amasso, sem quebras.",4,positivo
59280,"O visor do aparecer não aparece nenhum tipo de informação. Nem ao menos o número em que estamos ligando, muito menos o número que está nos ligando. Nem data, nem horas, etc... Nada! ele estava funcionando normal, mas com tres meses de uso ficou assim.  nem foi por falta de cuidados porq ele nunca saiu da estante.",1,negativo
76548,Caneta e lapiseira fizeram um par hiper bacana para dar de presente e ainda paguei metade do valor da loja do shopping.,5,positivo
110243,"Pessimo atendimendo, veio faltando peças .. fiz reclamação a mais de 1 mes não tem retorno, solicitei novamente as peças deram 2 meses ISSO MESMO 2 MESES PRA ENTREGAR..  INSATISFEITA !!!",1,negativo
1917,produto atende as expectativas. produto atende as expectativas  produto atende as expectativas,4,positivo
95116,Não recomendo a mesinha desmonta super fácil e muito fragil,1,negativo
77184,"O produto é prático e económico, pois diminui muito o consumo de pó e não utiliza filtro. Porém, em menos de um mês de uso estragou, acende a luz como se estive ligada, mas não funciona.",2,negativo
44149,"Produto veio com defeito, travando ao reproduzir músicas! Não recomendo!",1,negativo
11783,"Purificador da Eletrolux pe11x não sai agua ,e fiz todos os procedimentos que o SAC da Eletrolux recomendou e não continua não saindo água só de enfeite não comprem",1,negativo
62777,Não Gostei..............................................................................................................................................................................................................................................................................................................,2,negativo
76756,"bom dia , nao gostei do produto , pois no primeiro dia de uso das panelas os cabos derreteram, tanto das panelas como da caneca, tenho q cozinhar no fago baixo e mesmo assim todos os cabos estao queimados e começam a derreter, estranho ter uma panela e não poder usar o fogo normal pois os cabos derretem !",1,negativo
7107,O celular tem ótimo desempenho otima câmera excelente!!,5,positivo
66326,Além de andador tem várias atividades na parte da frente.,5,positivo
62016,Recebi produto com problemas e aparência de usado . Até agora não foi feita a troca . Ainda falta 1 que não veio .,1,negativo
85562,Recomendo a todos! Magnífico desempenho e câmeras perfeita.,5,positivo
30393,"Não comprem nada que seja dessa loja, comprei essa cortina já vai fazer 40 dias e até hoje nada, tive que comprar uma em outra loja, mais de 1 Mês pra emitirem a  nota fiscal, até hoje não me enviaram o produto!!!",1,negativo
16075,"Porém, no meu caso houveram ruídos internos, como se estivesse algo raspando constantemente. Mas o produto é rápido, estiloso e compacto, perfeito para a rotina.",4,positivo
5239,Boa tarde Comprei 02 volumes e foi entregue 01. Sendo que era dois  na NF estava constando 01 volume e no Conhecimento de frete o pessoal da transportadora disse que abriu chamado e nada. Paguei a vista 02 produtos e recebi 1.,1,negativo
43962,Atendeu as expectativas e super recomendo!!! Ele é bem bonito,4,positivo
100104,Produto muito bom fácil de instalar e não precisa de configuração,5,positivo
